Gas & Fuel,gas
Service & Parts,car repair
Restaurants,eating out
Fast Food,eating out
Groceries,groceries
Utilities,utilities
Car Purchase,car purchase
General Income Tax,taxes
Clothing,apparel
Shopping,other purchase
Music,Spotify
Spiritual Health,Covenant Eyes
Tithes,tithes
Federal Tax,taxes
Mortgage & Rent,rent
State Tax,taxes
Paycheck,HubSpot co-op
Bonus,bonus
Coffee Shops,eating out
Taxes,taxes
Mobile Phone,cellphone
401k,401k
401k (Employer Match),401k (Employer Match)
Tolls,tolls
Church Care,church care
Movies & DVDs,movie theater
Books,personal books
Books & Supplies,textbooks
Tuition,tuition
Rental Car & Taxi,travel
Air Travel,travel
Home Improvement,home goods
Auto Insurance,car insurance
Charity,441 Ministries
Alcohol & Bars,eating out
Entertainment,entertainment
Auto & Transport,tolls
Parking,parking
Public Transportation,public transit
Roth 401k,Roth 401k
Roth 401k (Employer Match),Roth 401k (Employer Match)
Hotel,hotel
Interest Income,savings interest
Gift,gift given
Uncategorized,?
Home Supplies,home goods
Office Rent,SPOT Cowork
